Row Labels,Price Low,Price High,Average Volume,Average Price,Volatility,,,,
A,$60.42 ,$82.27 ,"2,392,706",$69.20 ,32%,,,,
AAL,$28.81 ,$48.38 ,"7,680,660",$37.37 ,52%,,,Median Volume,"2,236,151"
AAP,$102.15 ,$186.15 ,"1,117,343",$153.11 ,55%,,,Median Percentage Change,37%
AAPL,$142.00 ,$233.47 ,"32,402,673",$189.41 ,48%,,,,
ABBV,$75.77 ,$107.25 ,"6,844,447",$90.29 ,35%,,,,
ABC,$69.36 ,$95.00 ,"1,415,069",$84.88 ,30%,,,,
ABMD,$267.60 ,$459.75 ,"681,684",$358.63 ,54%,,,,
ABT,$56.81 ,$80.74 ,"6,004,622",$68.42 ,35%,,,,
ACN,$132.63 ,$179.36 ,"2,145,992",$160.41 ,29%,,,,
ADBE,$204.95 ,$277.61 ,"3,263,917",$248.74 ,29%,,,,
ADI,$76.62 ,$114.29 ,"2,834,831",$95.09 ,40%,,,,
ADM,$39.16 ,$52.07 ,"3,584,798",$45.80 ,28%,,,,
ADP,$112.58 ,$163.38 ,"2,181,417",$140.28 ,36%,,,,
ADS,$142.58 ,$250.27 ,"577,371",$203.47 ,53%,,,,
ADSK,$117.72 ,$173.44 ,"1,987,128",$140.97 ,40%,,,,
AEE,$55.21 ,$74.91 ,"1,485,270",$64.71 ,30%,,,,
AEP,$62.71 ,$86.10 ,"2,781,427",$73.77 ,32%,,,,
AES,$11.31 ,$18.52 ,"6,440,700",$14.63 ,49%,,,,
AFL,$41.45 ,$50.66 ,"3,251,704",$46.01 ,20%,,,,
AGN,$125.84 ,$197.00 ,"2,427,867",$162.76 ,44%,,,,
AIG,$36.16 ,$56.79 ,"5,972,504",$48.29 ,43%,,,,
AIV,$38.54 ,$51.15 ,"1,147,902",$44.59 ,28%,,,,
AIZ,$82.31 ,$111.43 ,"676,531",$98.80 ,29%,,,,
AJG,$64.54 ,$81.09 ,"991,023",$73.13 ,23%,,,,
AKAM,$57.18 ,$83.08 ,"1,749,121",$71.29 ,36%,,,,
ALB,$71.89 ,$108.74 ,"1,467,488",$92.03 ,40%,,,,
ALGN,$177.93 ,$398.88 ,"1,171,496",$291.46 ,76%,,,,
ALK,$53.39 ,$74.83 ,"1,827,827",$63.05 ,34%,,,,
ALL,$77.00 ,$102.73 ,"2,014,939",$93.22 ,28%,,,,
ALLE,$73.85 ,$95.27 ,"718,460",$84.74 ,25%,,,,
ALXN,$92.56 ,$141.86 ,"1,578,878",$122.26 ,40%,,,,
AMAT,$28.79 ,$58.40 ,"12,449,385",$41.65 ,71%,,,,
AMD,$9.56 ,$34.14 ,"90,118,063",$20.53 ,120%,,,,
AME,$63.14 ,$85.92 ,"1,343,982",$74.96 ,30%,,,,
AMG,$88.47 ,$174.95 ,"539,671",$130.84 ,66%,,,,
AMGN,$165.22 ,$210.19 ,"2,894,688",$190.76 ,24%,,,,
AMP,$95.69 ,$153.15 ,"1,024,599",$133.55 ,43%,,,,
AMT,$133.53 ,$198.19 ,"1,963,760",$156.19 ,41%,,,,
AMZN,"$1,307.00 ","$2,050.50 ","5,353,040","$1,714.02 ",43%,,,,
ANET,$187.08 ,$326.49 ,"948,476",$256.68 ,54%,,,,
ANSS,$136.80 ,$190.45 ,"518,163",$168.65 ,32%,,,,
ANTM,$219.96 ,$317.99 ,"1,439,177",$265.74 ,37%,,,,
AON,$134.82 ,$176.30 ,"977,348",$152.30 ,27%,,,,
AOS,$40.34 ,$66.21 ,"1,607,187",$54.12 ,48%,,,,
APA,$24.56 ,$50.03 ,"4,040,173",$38.90 ,65%,,,,
APC,$40.40 ,$76.70 ,"5,337,598",$58.90 ,62%,,,,
APD,$148.44 ,$195.36 ,"1,083,704",$165.41 ,28%,,,,
APH,$74.95 ,$103.84 ,"1,361,311",$89.49 ,32%,,,,
APTV,$58.80 ,$103.23 ,"1,875,624",$83.67 ,53%,,,,
ARE,$109.04 ,$144.46 ,"653,917",$127.03 ,28%,,,,
ARNC,$15.63 ,$24.07 ,"4,644,466",$19.70 ,43%,,,,
ATO,$82.63 ,$104.07 ,"738,630",$93.56 ,23%,,,,
ATVI,$39.85 ,$84.68 ,"8,895,471",$62.37 ,72%,,,,
AVB,$156.93 ,$204.14 ,"612,892",$180.16 ,26%,,,,
AVGO,$197.46 ,$317.44 ,"3,871,031",$246.68 ,49%,,,,
AVY,$82.89 ,$116.44 ,"688,148",$103.05 ,33%,,,,
AWK,$77.73 ,$107.71 ,"890,562",$90.78 ,33%,,,,
AXP,$89.05 ,$114.55 ,"3,551,151",$103.63 ,25%,,,,
AZO,$590.76 ,"$1,072.22 ","325,400",$785.02 ,61%,,,,
BA,$292.47 ,$446.01 ,"4,744,765",$358.09 ,43%,,,,
BAC,$22.66 ,$31.91 ,"64,615,882",$28.90 ,32%,,,,
BAX,$61.05 ,$82.25 ,"3,262,360",$71.74 ,30%,,,,
BBT,$40.68 ,$56.03 ,"4,644,983",$50.19 ,31%,,,,
BBY,$47.72 ,$84.37 ,"3,573,127",$69.95 ,52%,,,,
BDX,$208.62 ,$265.87 ,"1,092,991",$241.32 ,24%,,,,
BEN,$27.34 ,$35.65 ,"3,412,182",$32.07 ,26%,,,,
BHGE,$20.09 ,$37.76 ,"4,797,050",$29.39 ,60%,,,,
BIIB,$216.12 ,$388.67 ,"1,692,243",$313.39 ,55%,,,,
