1,A,60,82,2392706,69,32,Health Care,HIGH,STABLE,BUDGET
2,AAL,29,48,7680660,37,52,Industrials,HIGH,GROWTH,BUDGET
3,AAP,102,186,1117343,153,55,Consumer Discretionary,LOW,GROWTH,ANY
4,AAPL,142,233,32402673,189,48,Information Technology,HIGH,GROWTH,ANY
5,ABBV,76,107,6844447,90,35,Health Care,HIGH,STABLE,BUDGET
6,ABC,69,95,1415069,85,30,Health Care,LOW,STABLE,BUDGET
7,ABMD,268,460,681684,359,54,Health Care,LOW,GROWTH,ANY
8,ABT,57,81,6004622,68,35,Health Care,HIGH,STABLE,BUDGET
9,ACN,133,179,2145992,160,29,Information Technology,LOW,STABLE,ANY
10,ADBE,205,278,3263917,249,29,Information Technology,HIGH,STABLE,ANY
11,ADI,77,114,2834831,95,40,Information Technology,HIGH,GROWTH,BUDGET
12,ADM,39,52,3584798,46,28,Consumer Staples,HIGH,STABLE,BUDGET
13,ADP,113,163,2181417,140,36,Information Technology,LOW,STABLE,ANY
14,ADS,143,250,577371,203,53,Information Technology,LOW,GROWTH,ANY
15,ADSK,118,173,1987128,141,40,Information Technology,LOW,GROWTH,ANY
16,AEE,55,75,1485270,65,30,Utilities,LOW,STABLE,BUDGET
17,AEP,63,86,2781427,74,32,Utilities,HIGH,STABLE,BUDGET
18,AES,11,19,6440700,15,49,Utilities,HIGH,GROWTH,BUDGET
19,AFL,41,51,3251704,46,20,Financials,HIGH,STABLE,BUDGET
20,AGN,126,197,2427867,163,44,Health Care,HIGH,GROWTH,ANY
21,AIG,36,57,5972504,48,43,Financials,HIGH,GROWTH,BUDGET
22,AIV,39,51,1147902,45,28,Real Estate,LOW,STABLE,BUDGET
23,AIZ,82,111,676531,99,29,Financials,LOW,STABLE,BUDGET
24,AJG,65,81,991023,73,23,Financials,LOW,STABLE,BUDGET
25,AKAM,57,83,1749121,71,36,Information Technology,LOW,STABLE,BUDGET
26,ALB,72,109,1467488,92,40,Materials,LOW,GROWTH,BUDGET
27,ALGN,178,399,1171496,291,76,Health Care,LOW,GROWTH,ANY
28,ALK,53,75,1827827,63,34,Industrials,LOW,STABLE,BUDGET
29,ALL,77,103,2014939,93,28,Financials,LOW,STABLE,BUDGET
30,ALLE,74,95,718460,85,25,Industrials,LOW,STABLE,BUDGET
31,ALXN,93,142,1578878,122,40,Health Care,LOW,GROWTH,ANY
32,AMAT,29,58,12449385,42,71,Information Technology,HIGH,GROWTH,BUDGET
33,AMD,10,34,90118063,21,120,Information Technology,HIGH,GROWTH,BUDGET
34,AME,63,86,1343982,75,30,Industrials,LOW,STABLE,BUDGET
35,AMG,88,175,539671,131,66,Financials,LOW,GROWTH,ANY
36,AMGN,165,210,2894688,191,24,Health Care,HIGH,STABLE,ANY
37,AMP,96,153,1024599,134,43,Financials,LOW,GROWTH,ANY
38,AMT,134,198,1963760,156,41,Real Estate,LOW,GROWTH,ANY
39,AMZN,1307,2051,5353040,1714,43,Consumer Discretionary,HIGH,GROWTH,ANY
40,ANET,187,326,948476,257,54,Information Technology,LOW,GROWTH,ANY
